Commodity Date;Gold Price ($);Gold Change Points (%);Silver Price ($);Silver Change Points (%);Petrol Price ($);Petrol Change Points (%)
2020-12-06;1838.86;-0.3144;24.185;0.3956;46.26;-0.3876
2020-12-03;1829.37;1.078;23.8954;1.2895;45.22;2.5862
2020-11-22;1870.99;0.0;24.1759;0.0;42.42;0.0
2020-11-17;1891.24;-0.2679;24.7651;-0.9634;41.58;2.2627
2020-11-12;1870.11;-0.6307;24.3075;-0.3362;41.8;0.0958
2020-11-10;1877.62;-4.0449;24.1535;-6.3379;39.88;4.3433
2020-11-09;1956.77;0.2778;25.7879;0.6868;38.22;2.9079
2020-11-07;1951.35;0.4887;25.612;1.2568;37.14;-2.6219
2020-11-01;1878.81;0.0;23.6567;0.0;35.79;0.0
2020-10-28;1905.25;-0.1844;24.3232;-0.7629;38.63;-0.3097
2020-10-23;1905.26;-0.4598;24.6113;-0.5098;40.67;2.2373
2020-10-20;1897.26;-0.1069;24.3973;0.9918;40.48;-0.9785
2020-10-07;1879.89;-1.6068;23.3994;-3.7185;39.89;1.4238
2020-09-25;1865.41;0.0724;22.8729;1.6935;40.39;2.3309
2020-09-19;1950.86;-0.0343;26.7845;-0.8455;41.11;0.1706
2020-09-16;1956.19;-0.3434;27.2313;-0.462;38.84;3.9615
2020-09-07;1940.72;0.3506;27.0935;0.68;39.33;-1.1064
2020-12-16;1856.77;1.3261;24.6702;2.7826;47.62;1.7956
2020-12-17;1864.05;0.3921;25.2437;2.3247;48.22;1.26
2020-12-27;1883.46;0.0;25.8297;0.0;48.23;0.0
2021-01-03;1898.67;0.0;26.4011;0.0;48.52;0.0
2021-01-17;1828.45;-1.303;24.7693;-3.4203;52.36;-2.2222
2021-01-20;1850.34;0.6352;25.4806;1.3177;53.36;2.1244
2021-01-21;1871.43;1.1398;25.9035;1.6597;53.04;-0.5997
2021-02-15;1824.54;0.017;27.5422;0.6659;60.84;2.3037
2021-02-23;1815.25;1.7876;28.2503;2.7799;62.78;5.0887
2021-02-26;1773.1;-1.3168;27.3556;-2.3753;63.14;-0.3472
2021-03-09;1687.1;-1.2913;25.2519;-1.6199;65.31;-3.6015
2021-03-11;1730.02;1.0012;26.2383;1.6827;64.95;2.0424
2021-03-15;1726.36;-0.0434;26.0159;0.375;66.26;0.9907
2021-03-17;1733.57;0.097;25.8404;-1.2296;64.67;0.0929
2021-04-04;1728.87;-0.108;25.0098;-3.5726;61.45;2.5363
2021-04-05;1727.49;-0.0798;24.9774;-0.1295;61.08;-0.6021
2021-04-05;1727.49;0.0;24.9774;0.0;61.08;0.0
2021-04-11;1743.88;0.0;25.2655;0.0;59.32;0.0
2021-04-12;1738.99;-0.2804;25.129;-0.5403;59.5;0.3034
2021-04-19;1776.96;0.0253;25.828;-0.5353;62.87;-0.4118
2021-04-23;1787.74;-0.37;26.1751;-1.1428;61.77;1.5954
2021-05-04;1790.27;1.006;26.8102;3.3216;64.63;1.5716
2021-05-10;1833.04;0.0983;27.7327;1.0317;65.59;1.0632
2021-05-16;1843.43;1.0774;27.4228;1.7204;65.37;2.8963
2021-05-23;1881.25;0.4829;27.5645;-0.4378;63.58;2.5484
2021-06-01;1913.7;0.2924;28.2395;0.7284;67.55;1.4112
2021-06-24;1777.89;-0.1623;25.9272;0.1437;73.08;-0.123
2021-06-28;1772.02;-0.5288;25.8542;-0.9494;73.99;-0.081
2021-06-29;1775.01;0.1687;26.0283;0.6734;72.73;-1.7029
2021-07-02;1778.03;0.3839;26.0268;-0.5601;75.28;2.2132
2021-07-09;1804.39;0.2361;25.8794;-0.3086;72.85;1.6606
2021-07-15;1804.39;0.0;25.8794;0.0;72.85;0.0
